Library name,Module set,Work shift,Percentage gap,Optimal
FDA.01.01,LAB-1,False,0.0,True
FDA.01.01,LAB-2,False,0.0,True
FDA.01.02,LAB-1,False,0.8,True
FDA.01.02,LAB-2,False,0.8,True
FDA.01.03,LAB-1,False,1.2,True
FDA.01.03,LAB-2,False,1.2,True
FDA.01.04,LAB-1,False,0.0,True
FDA.01.04,LAB-2,False,0.0,True
FDA.01.05,LAB-1,False,0.2,True
FDA.01.05,LAB-2,False,0.2,True
FDA.01.06,LAB-1,False,1.0,True
FDA.01.06,LAB-2,False,1.0,True
FDA.01.07,LAB-1,False,0.0,True
FDA.01.07,LAB-2,False,0.0,True
FDA.01.08,LAB-1,False,0.2,True
FDA.01.08,LAB-2,False,0.2,True
FDA.01.09,LAB-1,False,0.0,True
FDA.01.09,LAB-2,False,0.0,True
FDA.01.10,LAB-1,False,0.2,True
FDA.01.10,LAB-2,False,0.2,True
FDA.02.01,LAB-1,False,36.0,True
FDA.02.01,LAB-2,False,36.0,True
FDA.02.02,LAB-1,False,34.2,True
FDA.02.02,LAB-2,False,29.5,True
FDA.02.03,LAB-1,False,21.5,True
FDA.02.03,LAB-2,False,18.1,True
FDA.02.04,LAB-1,False,9.7,True
FDA.02.04,LAB-2,False,9.7,True
FDA.02.05,LAB-1,False,15.5,True
FDA.02.05,LAB-2,False,15.5,True
FDA.02.06,LAB-1,False,6.0,True
FDA.02.06,LAB-2,False,6.0,True
FDA.02.07,LAB-1,False,38.6,True
FDA.02.07,LAB-2,False,38.6,True
FDA.02.08,LAB-1,False,48.1,True
FDA.02.08,LAB-2,False,48.1,True
FDA.02.09,LAB-1,False,21.1,True
FDA.02.09,LAB-2,False,17.6,True
FDA.02.10,LAB-1,False,2.5,True
FDA.02.10,LAB-2,False,2.5,True
FDA.03.01,LAB-1,False,41.8,True
FDA.03.01,LAB-2,False,35.6,True
FDA.03.02,LAB-1,False,43.6,True
FDA.03.02,LAB-2,False,42.8,True
FDA.03.03,LAB-1,False,42.9,True
FDA.03.03,LAB-2,False,42.4,True
FDA.03.04,LAB-1,False,38.2,True
FDA.03.04,LAB-2,False,38.2,True
FDA.03.05,LAB-1,False,48.6,True
FDA.03.05,LAB-2,False,50.3,True
FDA.03.06,LAB-1,False,34.4,True
FDA.03.06,LAB-2,False,29.7,True
FDA.03.07,LAB-1,False,57.1,False
FDA.03.07,LAB-2,False,60.7,True
FDA.03.08,LAB-1,False,58.6,True
FDA.03.08,LAB-2,False,60.7,True
FDA.03.09,LAB-1,False,51.3,True
FDA.03.09,LAB-2,False,52.9,True
FDA.03.10,LAB-1,False,40.9,True
FDA.03.10,LAB-2,False,41.4,True
FDA.04.01,LAB-1,False,59.9,True
